date,day_of_week,temperature,weather,season,event,is_weekend,holiday,menu_item,historical_sales,price,promotion,predicted_sales,production,actual_sales,wastage
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Biryani,108,220,0,99,108,108,0
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Fried_Rice,68,180,0,70,73,68,5
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Noodles,63,160,0,65,74,63,11
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Paneer_Curry,61,200,0,54,56,61,0
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Chicken_Curry,91,240,0,91,99,91,8
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Soup,37,120,0,37,40,37,3
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Parotta,47,100,0,51,55,47,8
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Idli,105,60,0,103,108,105,3
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Dosa,98,80,0,106,117,98,19
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Samosa,91,30,0,86,92,91,1
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Cooldrinks,92,50,0,95,105,92,13
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,IceCream,70,90,0,68,72,70,2
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Puri,85,70,0,89,97,85,12
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Tea,156,20,0,141,159,156,3
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Coffee,115,40,0,113,123,115,8
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Biryani,107,220,0,103,112,107,5
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Fried_Rice,74,180,0,71,76,74,2
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Noodles,60,160,0,60,63,60,3
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Paneer_Curry,58,200,0,60,67,58,9
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Chicken_Curry,87,240,0,79,85,87,0
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Soup,32,120,0,29,31,32,0
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Parotta,50,100,0,48,53,50,3
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Idli,106,60,0,105,111,106,5
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Dosa,93,80,0,96,108,93,15
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Samosa,106,30,0,105,115,106,9
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Cooldrinks,94,50,0,92,96,94,2
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,IceCream,62,90,0,62,70,62,8
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Puri,88,70,0,83,90,88,2
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Tea,149,20,0,136,146,149,0
2024-01-02,Tuesday,30.7,Sunny,Summer,None,0,0,Coffee,135,40,0,125,142,135,7
2024-01-03,Wednesday,32.0,Rainy,Summer,Festival,0,1,Biryani,148,220,0,136,147,148,0
2024-01-03,Wednesday,32.0,Rainy,Summer,Festival,0,1,Fried_Rice,91,180,0,93,97,91,6
2024-01-03,Wednesday,32.0,Rainy,Summer,Festival,0,1,Noodles,83,160,0,80,86,83,3
2024-01-03,Wednesday,32.0,Rainy,Summer,Festival,0,1,Paneer_Curry,71,200,0,70,78,71,7
2024-01-03,Wednesday,32.0,Rainy,Summer,Festival,0,1,Chicken_Curry,93,240,0,88,94,93,1
2024-01-03,Wednesday,32.0,Rainy,Summer,Festival,0,1,Soup,56,120,0,56,61,56,5
2024-01-03,Wednesday,32.0,Rainy,Summer,Festival,0,1,Parotta,77,100,0,70,75,77,0
2024-01-03,Wednesday,32.0,Rainy,Summer,Festival,0,1,Idli,139,60,0,144,153,139,14
