date,day_of_week,temperature,weather,season,event,is_weekend,holiday,menu_item,historical_sales,price,promotion,actual_sales
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Biryani,108,220,0,108
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Fried_Rice,73,180,0,73
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Noodles,60,160,0,60
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Paneer_Curry,51,200,0,51
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Chicken_Curry,78,240,0,78
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Soup,36,120,0,36
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Parotta,48,100,0,48
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Idli,103,60,0,103
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Dosa,92,80,0,92
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Samosa,103,30,0,103
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Cooldrinks,104,50,0,104
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,IceCream,58,90,0,58
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Puri,87,70,0,87
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Tea,149,20,0,149
2024-01-01,Monday,32.0,Cloudy,Winter,None,0,0,Coffee,128,40,0,128
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Biryani,117,220,0,117
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Fried_Rice,68,180,0,68
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Noodles,66,160,0,66
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Paneer_Curry,53,200,0,53
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Chicken_Curry,73,240,0,73
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Soup,43,120,0,43
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Parotta,60,100,0,60
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Idli,95,60,0,95
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Dosa,88,80,0,88
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Samosa,127,30,0,127
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Cooldrinks,99,50,0,99
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,IceCream,59,90,0,59
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Puri,89,70,0,89
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Tea,248,20,0,248
2024-01-02,Tuesday,24.1,Rainy,Winter,None,0,0,Coffee,146,40,0,146
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Biryani,115,220,0,115
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Fried_Rice,64,180,0,64
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Noodles,55,160,0,55
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Paneer_Curry,55,200,0,55
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Chicken_Curry,71,240,0,71
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Soup,45,120,0,45
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Parotta,62,100,0,62
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Idli,87,60,0,87
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Dosa,88,80,0,88
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Samosa,150,30,0,150
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Cooldrinks,101,50,0,101
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,IceCream,70,90,0,70
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Puri,87,70,0,87
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Tea,255,20,0,255
2024-01-03,Wednesday,30.9,Rainy,Summer,None,0,0,Coffee,134,40,0,134
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Biryani,117,220,0,117
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Fried_Rice,59,180,0,59
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Noodles,62,160,0,62
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Paneer_Curry,44,200,0,44
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Chicken_Curry,80,240,0,80
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Soup,48,120,0,48
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Parotta,55,100,0,55
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Idli,88,60,0,88
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Dosa,89,80,0,89
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Samosa,107,30,0,107
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Cooldrinks,93,50,0,93
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,IceCream,70,90,0,70
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Puri,88,70,0,88
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Tea,301,20,0,301
2024-01-04,Thursday,24.0,Sunny,Monsoon,None,0,0,Coffee,184,40,0,184
2024-01-05,Friday,31.2,Cloudy,Winter,None,0,0,Biryani,99,220,0,99
